FALL 2018 MATHEMATICS SCHEDULE v15 edits 3.19.2018,,,,,,,,,,,,,,,,,,
Class,Sec,Class #,Days,Start Time,End Time,Bldg,Rm,Rm Cap,Enroll Cap,Instructor,Category,Teach(12),Recitation(3),Assist(6),Lab(6),Assistant or Notes,Check enroll cap CSM opens all sections END FEB,In CC. 3.6.18
232,601,10882,M,9:05 AM,9:55 AM,PH,385,42,30,,recitation,,1,,,,,
232,602,10883,M,10:10 AM,11:00 AM,PH,385,42,30,,recitation,,1,,,,,
232,603,10884,M,11:15 AM,12:05 PM,PH,383,42,30,,recitation,,1,,,,,
232,604,10885,M,12:20 PM,1:10 PM,PH,383,42,30,,recitation,,1,,,,,
232,605,11525,M,1:25 PM,2:15 PM,PH,383,42,30,,recitation,,1,,,,,
232,2,9005,MWF,1:25 PM,2:15 PM,CO,201,198,120,"GREEN, LINDA",,,,,,MWF/Reserve Cap,Formstack SUCCESSFUL> Very large classroom. Move recitations too.,
232,606,10886,R,8:00 AM,8:50 AM,PH,385,42,30,,recitation,,1,,,,,
232,607,10887,R,9:30 AM,10:20 AM,PH,224,35,30,,recitation,,1,,,,,
232,608,10888,R,11:00 AM,11:50 AM,PH,383,42,30,,recitation,,1,,,,,
232,609,10889,R,12:30 PM,1:20 PM,PH,38342,42,30,,recitation,,1,,,,,
232,610,10890,R,2:00 PM,2:50 PM,DE,208,35,30,,recitation,,1,,,,,
232,611,11526,R,3:30 PM,4:20 PM,PH,332,62,30,,recitation,,1,,,,,
232H,1,13836,MWF,1:25 PM,2:15 PM,PH,224,35,25,"SMIRNOV, ANDREY  ",,,,,,Honors Controlled/Dept Consent,,
232H,612,14044,T,12:30 PM,1:20 PM,PH,224,35,25,,recitation,,,,,,,
,,,,,,,,,,,,,1,,,,,
233,1,2104,MWF,10:10 AM,11:00 AM,PH,215,148,120,"ROZANSKY, LEV ",,,,,,Reserve Cap,,
233,600,11488,R,8:00 AM,8:50 AM,PH,383,42,30,,recitation,,1,,,,,
233,601,11489,R,9:30 AM,10:20 AM,PH,381,42,30,,recitation,,1,,,,,
233,602,11490,R,11:00 AM,11:50 AM,PH,228,34,30,,recitation,,1,,,,,
233,603,11491,R,12:30 PM,1:20 PM,PH,224,35,30,,recitation,,1,,,,,
233,604,11492,R,2:00 PM,2:50 PM,PH,206,49,30,,recitation,,1,,,,Check CC for change to PH 0206. FORMSTACK SUBMITTED. Succesful.,
233,2,2105,MWF,2:30 PM,3:20 PM,PH,215,148,120,"GREEN, LINDA",,,,,,MWF/Reserve Cap,,
233,605,11493,T,8:00 AM,8:50 AM,PH,383,42,30,,recitation,,1,,,,,
233,606,11494,T,9:30 AM,10:20 AM,PH,224,35,30,,recitation,,1,,,,,
233,607,11495,T,11:00 AM,11:50 AM,PH,332,62,30,,recitation,,1,,,,,
233,608,11496,T,12:30 PM,1:20 PM,PH,383,42,30,,recitation,,1,,,,,
233,609,11497,T,2:00 PM,2:50 PM,PH,206,49,30,,recitation,,1,,,,FORMSTACK SUBMITTED. Successful. PH 206 with 49 cap - consider! White board/blackboard/circle tables w/outlets.,
233,3,2106,TR,8:00 AM,9:15 AM,PH,215,148,120,"BELKALE, PRAKASH",,,,,,TR/Reserve Cap,,
233,610,11498,F,8:00 AM,8:50 AM,PH,383,42,30,,recitation,,1,,,,,
233,611,11501,F,9:05 AM,9:55 AM,PH,385,42,30,,recitation,,1,,,,,
233,612,11502,F,10:10 AM,11:00 AM,PH,383,42,30,,recitation,,1,,,,,
233,613,11503,F,11:15 AM,12:05 PM,PH,381,42,30,,recitation,,1,,,,,
233,614,11504,F,12:20 PM,1:10 PM,PH,385,42,30,,recitation,,1,,,,,
233,4,2107,TR,9:30 AM,10:45 AM,PE,104,141,120,"MCLAUGHLIN, Buffie",,,,,,TR/Reserve Cap,"Double booked. Keep 233 at 9:30 per Buffie request, if possible.",
233,615,11505,W,8:00 AM,8:50 AM,PH,332,62,30,,recitation,,1,,,,Monday?,
233,616,11507,W,9:05 AM,9:55 AM,PH,228,34,30,,recitation,,1,,,,Monday?,
233,617,11508,W,10:10 AM,11:00 AM,PH,385,42,30,,recitation,,1,,,,Monday?,
233,618,11509,W,11:15 AM,12:05 PM,PH,381,42,30,,recitation,,1,,,,Monday?,
233,619,11510,W,12:20 PM,1:10 PM,DE,402,30,30,,recitation,,1,,,,,
233,004???,,,,,,,,,FRIDAY CENTER OFFERING???,,,,,,,ANOTHER SECTION OF 233 (FRIDAY CTR),
